pc_version,pc_build,client_pin,mode,callee,ordering,key_dist,records,partitions,max_poll_records,buffer,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight,inflight_p50,load_1m,residence_p50_ms,residence_p99_ms,residence_p999_ms,residence_max_ms,drain_p50_ms,drain_p99_ms,drain_p999_ms,drain_max_ms,e2e_p50_ms,e2e_p99_ms,e2e_p999_ms,e2e_max_ms,arrival_requested,arrival_achieved,feed_lag_p99_ms,backlog_p99,backlog_max,injected_failures
0.5.3.3,2204298880,NATIVE,core,async,UNORDERED,zipf,12000,24,500,20000,10,24,1,1103.4,24,23,5.08,-,-,-,-,6549,9785,10863,10864,-,-,-,-,-,-,-,0,0,113
0.5.3.3,2204298880,NATIVE,core,async,UNORDERED,zipf,12000,24,500,20000,10,24,2,1098.9,24,23,4.52,-,-,-,-,6595,9819,10904,10906,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core,async,KEY,zipf,12000,24,500,20000,10,24,1,240.1,24,1,7.09,3623,45096,47244,46720,6816,47249,49785,49961,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core,async,KEY,zipf,12000,24,500,20000,10,24,2,231.2,24,1,5.12,3489,47244,49392,48639,6705,49189,51723,51882,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core,async,UNORDERED,zipf,12000,24,500,20000,10,24,1,1097.4,24,23,4.63,3488,6709,7783,7662,6609,9852,10933,10935,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core,async,UNORDERED,zipf,12000,24,500,20000,10,24,2,1091.6,24,23,4.87,3353,6709,7783,7734,6595,9904,10992,10992,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-vt,async,KEY,zipf,12000,24,500,20000,10,24,1,242.4,24,1,4.85,3892,45097,47244,46265,7076,46774,49320,49496,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-vt,async,KEY,zipf,12000,24,500,20000,10,24,2,239.2,24,1,4.65,3758,45097,47244,46929,6975,47448,50004,50171,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-vt,async,UNORDERED,zipf,12000,24,500,20000,10,24,1,1031.3,24,24,5.30,3756,7246,8588,8345,6946,10499,11601,11601,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-vt,async,UNORDERED,zipf,12000,24,500,20000,10,24,2,1037.3,24,24,4.96,3756,7246,8319,8298,6927,10457,11553,11553,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-dpvt,async,KEY,zipf,12000,24,500,20000,10,24,1,257.9,24,1,5.08,3758,40802,45097,43302,6951,43794,46361,46529,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-dpvt,async,KEY,zipf,12000,24,500,20000,10,24,2,229.4,24,1,5.21,3758,47244,49392,49016,6963,49556,52116,52283,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-dpvt,async,UNORDERED,zipf,12000,24,500,20000,10,24,1,1036.2,24,24,11.14,3757,7247,8589,8330,6891,10477,11574,11574,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-dpvt,async,UNORDERED,zipf,12000,24,500,20000,10,24,2,1037.4,24,24,10.12,3758,7247,8321,8322,6894,10472,11565,11566,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,vertx,async,KEY,zipf,12000,24,500,20000,10,24,1,412.3,24,2,8.64,3083,24692,25766,25823,-,-,-,-,-,-,-,-,-,-,-,0,0,112
LOCAL,2426224418,NATIVE,vertx,async,KEY,zipf,12000,24,500,20000,10,24,2,413.2,24,2,7.85,3083,24692,25766,25810,-,-,-,-,-,-,-,-,-,-,-,0,0,112
LOCAL,2426224418,NATIVE,vertx,async,UNORDERED,zipf,12000,24,500,20000,10,24,1,1323.8,24,22,5.95,3083,5901,5901,5812,-,-,-,-,-,-,-,-,-,-,-,0,0,112
LOCAL,2426224418,NATIVE,vertx,async,UNORDERED,zipf,12000,24,500,20000,10,24,2,1259.0,24,24,5.27,3217,6438,6438,6282,-,-,-,-,-,-,-,-,-,-,-,0,0,112
LOCAL,2426224418,NATIVE,reactor,async,KEY,zipf,12000,24,500,20000,10,24,1,255.5,24,1,4.90,3347,42941,45089,43713,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,reactor,async,KEY,zipf,12000,24,500,20000,10,24,2,257.8,24,1,4.49,3481,42941,45089,43307,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,reactor,async,UNORDERED,zipf,12000,24,500,20000,10,24,1,1160.7,24,21,4.08,3213,6166,7239,7102,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,reactor,async,UNORDERED,zipf,12000,24,500,20000,10,24,2,1157.7,24,22,3.76,3213,6166,7239,7113,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,mutiny,async,KEY,zipf,12000,24,500,20000,10,24,1,242.9,24,1,3.95,3481,45089,47236,46159,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,mutiny,async,KEY,zipf,12000,24,500,20000,10,24,2,292.1,24,1,4.15,3347,36499,38646,37829,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,mutiny,async,UNORDERED,zipf,12000,24,500,20000,10,24,1,1155.0,24,22,3.74,3213,6166,7239,7129,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,mutiny,async,UNORDERED,zipf,12000,24,500,20000,10,24,2,1147.2,24,22,4.09,3213,6166,7239,7223,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,proxy,async,KEY,zipf,12000,24,500,20000,10,24,1,63.0,24,0,4.08,6441,180388,188978,187234,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,proxy,async,KEY,zipf,12000,24,500,20000,10,24,2,63.2,24,0,5.04,6441,171798,188978,186719,-,-,-,-,-,-,-,-,-,-,-,0,0,113
